sim result, 0
total time, 121.207184
total energy, 7184.387695
map,x,slope,radius,vi,ft,fslope,faero,ftyres,fres,ftot,a,dt,dE
0,38.000000,-0.001070,0.063625,6.637176,0.000000,-0.871182,3.524359,7.907235,10.625550,-10.625550,-0.122133,0.150875,0.000000
0,39.000000,-0.001085,0.064757,6.618749,0.000000,-0.883756,3.643430,8.077797,10.902610,-10.902610,-0.125317,0.151301,0.000000
0,40.000000,-0.001101,0.065889,6.599788,0.000000,-0.896329,3.766508,8.244488,11.179806,-11.179806,-0.128504,0.151744,0.000000
0,41.000000,-0.001112,0.066312,6.580288,0.000000,-0.905253,3.799374,8.237900,11.197159,-11.197159,-0.128703,0.152196,0.000000
0,42.000000,-0.001123,0.066736,6.560700,0.000000,-0.914177,3.832433,8.229732,11.213125,-11.213125,-0.128886,0.152653,0.000000
0,43.000000,-0.001134,0.067159,6.541026,0.000000,-0.923102,3.865676,8.219931,11.227643,-11.227643,-0.129053,0.153113,0.000000
0,44.000000,-0.001145,0.067582,6.521266,0.000000,-0.932026,3.899100,8.208538,11.240751,-11.240751,-0.129204,0.153579,0.000000
0,45.000000,-0.001156,0.068006,6.501423,0.000000,-0.940950,3.932702,8.195541,11.252432,-11.252432,-0.129338,0.154049,0.000000
0,46.000000,-0.001167,0.068429,6.481499,0.000000,-0.949875,3.966476,8.180955,11.262695,-11.262695,-0.129456,0.154522,0.000000
0,47.000000,-0.001178,0.068852,6.461495,0.000000,-0.958799,4.000420,8.164796,11.271555,-11.271555,-0.129558,0.155005,0.000000
0,48.000000,-0.001189,0.069276,6.441413,0.000000,-0.967723,4.034526,8.147059,11.279001,-11.279001,-0.129644,0.155489,0.000000
0,49.000000,-0.001199,0.069699,6.421255,0.000000,-0.976647,4.068791,8.127764,11.285046,-11.285046,-0.129713,0.155979,0.000000
0,50.000000,-0.001210,0.070122,6.401022,0.000000,-0.985572,4.103210,8.106913,11.289689,-11.289689,-0.129767,0.156472,0.000000
0,51.000000,-0.001220,0.070419,6.380717,0.000000,-0.993021,4.119514,8.056609,11.248240,-11.248240,-0.129290,0.156970,0.000000
0,52.000000,-0.001229,0.070715,6.360423,0.000000,-1.000471,4.135829,8.005761,11.206258,-11.206258,-0.128808,0.157473,0.000000
0,53.000000,-0.001238,0.071011,6.340139,0.000000,-1.007921,4.152153,7.954383,11.163753,-11.163753,-0.128319,0.157978,0.000000
0,54.000000,-0.001247,0.071308,6.319867,0.000000,-1.015371,4.168483,7.902483,11.120733,-11.120733,-0.127825,0.158486,0.000000
0,55.000000,-0.001256,0.071604,6.299609,0.000000,-1.022821,4.184819,7.850074,11.077210,-11.077210,-0.127324,0.158996,0.000000
0,56.000000,-0.001265,0.071900,6.279365,0.000000,-1.030271,4.201163,7.797169,11.033199,-11.033199,-0.126818,0.159508,0.000000
0,57.000000,-0.001274,0.072197,6.259136,0.000000,-1.037721,4.217513,7.743794,10.988724,-10.988724,-0.126307,0.160025,0.000000
0,58.000000,-0.001284,0.072493,6.238924,0.000000,-1.045170,4.233867,7.689947,10.943782,-10.943782,-0.125791,0.160544,0.000000
0,59.000000,-0.001293,0.072789,6.218729,0.000000,-1.052620,4.250224,7.635650,10.898392,-10.898392,-0.125269,0.161065,0.000000
0,60.000000,-0.001302,0.073086,6.198553,0.000000,-1.060070,4.266584,7.580911,10.852564,-10.852564,-0.124742,0.161591,0.000000
0,61.000000,-0.001312,0.072693,6.178395,0.000000,-1.068209,4.181204,7.390567,10.568701,-10.568701,-0.121479,0.162112,0.000000
0,62.000000,-0.001322,0.072300,6.158702,0.000000,-1.076347,4.098072,7.236063,10.322927,-10.322927,-0.118654,0.162628,0.000000
0,63.000000,-0.001332,0.071908,6.139405,0.000000,-1.084486,4.017040,7.113029,10.110722,-10.110722,-0.116215,0.163135,0.000000
0,64.000000,-0.001342,0.071515,6.120447,0.000000,-1.092624,3.937982,6.992896,9.903392,-9.903392,-0.113832,0.163635,0.000000
0,65.000000,-0.001352,0.071123,6.101820,0.000000,-1.100762,3.860841,6.875607,9.700824,-9.700824,-0.111504,0.164131,0.000000
0,66.000000,-0.001362,0.070730,6.083519,0.000000,-1.108901,3.785567,6.761044,9.502849,-9.502849,-0.109228,0.164621,0.000000
0,67.000000,-0.001372,0.070338,6.065538,0.000000,-1.117039,3.712106,6.649130,9.309335,-9.309335,-0.107004,0.165108,0.000000
0,68.000000,-0.001382,0.069945,6.047871,0.000000,-1.125178,3.640410,6.539791,9.120161,-9.120161,-0.104829,0.165585,0.000000
