0.203333, 0.057143, 0.011619, 0.041344, 0.003265,0.002363, 0.000664, 0.000135, 0.008407, 0.000187
0.646666, 0.200000, 0.129333, 0.418177, 0.040000,0.083635, 0.025867, 0.016727, 0.270421, 0.008000
0.550000, 0.342857, 0.188571, 0.302500, 0.117551,0.103714, 0.064653, 0.035559, 0.166375, 0.040303
0.983340, 0.942857, 0.927149, 0.966958, 0.888980,0.911703, 0.874169, 0.859606, 0.950848, 0.838181
0.520000, 0.057143, 0.029714, 0.270400, 0.003265,0.015451, 0.001698, 0.000883, 0.140608, 0.000187
0.398333, 0.857143, 0.341428, 0.158669, 0.734694,0.136002, 0.292653, 0.116573, 0.063203, 0.629738
0.736668, 0.714286, 0.526191, 0.542679, 0.510204,0.387628, 0.375851, 0.276877, 0.399774, 0.364432
0.636666, 0.142857, 0.090952, 0.405344, 0.020408,0.057906, 0.012993, 0.008272, 0.258069, 0.002915
0.265000, 0.457143, 0.121143, 0.070225, 0.208980,0.032103, 0.055380, 0.014676, 0.018610, 0.095534
0.868337, 0.285714, 0.248096, 0.754010, 0.081633,0.215431, 0.070885, 0.061552, 0.654735, 0.023324
0.971673, 0.485714, 0.471956, 0.944149, 0.235918,0.458587, 0.229236, 0.222742, 0.917404, 0.114589
0.843337, 0.628572, 0.530098, 0.711217, 0.395102,0.447051, 0.333204, 0.281003, 0.599795, 0.248350
0.483333, 0.400000, 0.193333, 0.233611, 0.160000,0.093444, 0.077333, 0.037378, 0.112912, 0.064000
0.868337, 0.714286, 0.620241, 0.754010, 0.510204,0.538579, 0.443030, 0.384699, 0.654735, 0.364432
0.363333, 0.685714, 0.249143, 0.132011, 0.470204,0.090522, 0.170841, 0.062072, 0.047964, 0.322426
0.970006, 0.400000, 0.388003, 0.940912, 0.160000,0.376365, 0.155201, 0.150546, 0.912691, 0.064000
0.928339, 0.171429, 0.159144, 0.861813, 0.029388,0.147739, 0.027282, 0.025327, 0.800054, 0.005038
0.621666, 0.600000, 0.373000, 0.386469, 0.360000,0.231881, 0.223800, 0.139129, 0.240255, 0.216000
0.130000, 0.085714, 0.011143, 0.016900, 0.007347,0.001449, 0.000955, 0.000124, 0.002197, 0.000630
0.018333, 0.228571, 0.004190, 0.000336, 0.052245,0.000077, 0.000958, 0.000018, 0.000006, 0.011942
0.078333, 0.457143, 0.035810, 0.006136, 0.208980,0.002805, 0.016370, 0.001282, 0.000481, 0.095534
